Year,CO2 Levels,Temperature
2000,402.4835707650562,14.936783265057855
2001,401.3086784941441,15.059937672226845
2002,407.23844269050346,14.43239476070334
2003,413.61514928204014,15.000111623378212
2004,406.8292331263833,15.192045957382598
2005,408.8293152152541,14.601089515593932
2006,419.89606407753695,15.585770290723575
2007,417.83717364576455,15.056424127955887
2008,413.65262807032525,15.127205686509868
2009,420.71280021792984,15.113402698243899
2010,417.6829115359377,16.279797322973224
2011,419.6713512321487,15.386678412274009
2012,425.2098113578302,14.975340762678654
2013,416.433598776711,15.739944431585815
2014,419.37541083743486,14.777086391763186
2015,427.18856235379513,15.64820304457828
2016,426.9358443983279,14.55888182602667
2017,435.5712366629764,15.047331708810312
2018,431.45987962239394,15.727628210382441
2019,430.93848149332354,15.988002919864176
2020,447.32824384460775,16.032249017487143
